"Factor","Max_AUC_Level1","annotation_Level1","Max_AUC_Level2","annotation_Level2","residual"
"GP94",0.61072839087679,"DN",0.688955404222845,"CD8.wV",0.0782270133460545
"GP172",0.527340944453425,"CD4",0.688367294962741,"CD4.P",0.161026350509316
"GP175",0.544574283677986,"gdT",0.688052504133313,"gdT.Z",0.143478220455327
"GP99",0.536765647484786,"CD8aa",0.68780139999756,"CD4.Y",0.151035752512774
"GP81",0.58240772708327,"DP",0.686849982337386,"Tz.D",0.104442255254116
"GP145",0.538240277737778,"CD8aa",0.685882413565759,"CD8aa.wM",0.147642135827981
"GP38",0.640111506395372,"DN",0.685159577907813,"CD8.P",0.0450480715124414
"GP119",0.568007638768859,"DP",0.68296586305926,"CD4.wN",0.114958224290401
"GP148",0.600464076420189,"DN",0.681146688951967,"gdT.B",0.0806826125317784
"GP46",0.535664686224629,"Treg",0.679196212324609,"CD4.P",0.14353152609998
"GP39",0.625373339170727,"DN",0.678351644121649,"DN.I",0.0529783049509219
"GP140",0.529571674352357,"CD8aa",0.675293630024509,"CD4.P",0.145721955672152
"GP185",0.585438573172083,"gdT",0.67372129086827,"Treg.D",0.0882827176961867
"GP146",0.562363216185779,"DN",0.672317166942347,"Tz.D",0.109953950756567
"GP89",0.61134585170195,"DN",0.671107194073881,"DN.I",0.0597613423719313
"GP114",0.528393010881035,"CD4",0.669868285909142,"CD4.Y",0.141475275028108
"GP96",0.541260699232159,"CD4",0.669113234079908,"CD4.R",0.127852534847749
"GP28",0.608885629560945,"DP",0.668460198885448,"CD8.wV",0.0595745693245037
"GP142",0.523189315002341,"CD8aa",0.664579658388944,"CD4.P",0.141390343386603
"GP191",0.637877029372832,"Treg",0.664511497686962,"gdT.V",0.0266344683141307
"GP138",0.566103285996155,"DN",0.664370150167829,"CD4.P",0.0982668641716749
"GP196",0.59417749892123,"gdT",0.663182425696963,"gdT.Z",0.0690049267757331
"GP154",0.582807791835036,"DN",0.662672792207995,"DP.wG",0.0798650003729583
"GP111",0.546422252486365,"CD4",0.662062508082425,"CD4.I",0.115640255596059
"GP143",0.535674682742594,"Tz",0.657335447593776,"CD8.P",0.121660764851182
"GP139",0.545113351313494,"DN",0.656516410907374,"gdT.Z",0.111403059593879
"GP70",0.601025159115838,"DN",0.655635948412223,"CD4.P",0.0546107892963853
"GP115",0.572032073093133,"CD8aa",0.652756404184205,"CD4.Y",0.0807243310910719
"GP102",0.556094829896915,"gdT",0.652274038672445,"gdT.R",0.09617920877553
"GP129",0.549323123669072,"Treg",0.650137549051765,"DN.A",0.100814425382693
"GP92",0.547366610758336,"gdT",0.64967501819358,"CD8aa.wM",0.102308407435243
"GP136",0.557491882071401,"CD8aa",0.649095598222874,"gdT.G",0.0916037161514728
"GP164",0.543631199442183,"CD4",0.638942910202623,"Treg.D",0.0953117107604395
"GP66",0.572865658434402,"Treg",0.633653114214287,"Treg.D",0.060787455779885
"GP132",0.551340275592756,"Treg",0.632341507379948,"Treg.D",0.0810012317871918
"GP64",0.565385092442761,"gdT",0.63093927473598,"DP.wD",0.0655541822932185
"GP168",0.558556086007919,"gdT",0.627767251249453,"gdT.S",0.0692111652415341
"GP83",0.527944472530851,"DP",0.627549129150086,"DN.P",0.0996046566192349
"GP104",0.563323375244802,"gdT",0.622716466047567,"Tz.wM",0.0593930908027646
"GP144",0.535439095419114,"CD4",0.622643790799413,"Tz.D",0.087204695380299
"GP88",0.600617485817115,"DN",0.611028947002215,"DN.B",0.0104114611851004
"GP186",0.533497137901926,"gdT",0.610104670961213,"gdT.Z",0.076607533059287
"GP61",0.556388363919446,"CD8aa",0.607518288320463,"gdT.B",0.0511299244010176
"GP200",0.553905723091268,"gdT",0.607075358619268,"gdT.Z",0.0531696355280002
"GP141",0.556055798821298,"DN",0.605818265411015,"gdT.F",0.0497624665897165
"GP198",0.529554234528078,"Treg",0.60023927757142,"gdT.P",0.0706850430433423
"GP158",0.571851941904582,"gdT",0.599782495335645,"DN.wM",0.0279305534310629
"GP179",0.532464118009602,"gdT",0.598015726723752,"DN.wM",0.0655516087141504
"GP86",0.545237200629114,"CD4",0.596631298624838,"Treg.E",0.0513940979957245
"GP193",0.60176660235726,"Treg",0.5956384378493,"CD8.C",-0.00612816450796039
"GP195",0.570198000000769,"gdT",0.58984850818981,"gdT.wM",0.0196505081890409
"GP97",0.520159527485831,"CD8",0.586297211228826,"CD8.wM",0.0661376837429957
"GP131",0.542143139097408,"gdT",0.577155990814247,"gdT.wM",0.0350128517168389
"GP190",0.524439211722375,"Tz",0.553922765749868,"Treg.D",0.0294835540274929
"GP178",0.525972508937832,"DP",0.549297127024531,"Treg.D",0.0233246180866994
"GP116",0.507681536651409,"CD8",0.532649448445803,"CD4.T",0.0249679117943942
