"panel","lineage","drawn_in_4c","cluster","n_cells","gp","color","mean_loading","proportion"
"a","CD8",FALSE,"CD8.E",10027,"GP44","#1F9698FF",0.00285542093186139,0.00251863804089904
"a","CD8",FALSE,"CD8.F",266,"GP44","#1F9698FF",0.00270511593861646,0.00191506526161204
"a","CD8",FALSE,"CD8.G",997,"GP44","#1F9698FF",0.00278947827753495,0.0022186222463215
"a","CD8",FALSE,"CD8.H",1366,"GP44","#1F9698FF",0.00277288892768738,0.0023654777012588
"a","CD8",FALSE,"CD8.I",198,"GP44","#1F9698FF",0.00274422068041488,0.00198616445413907
"a","CD8",FALSE,"CD8.J",1203,"GP44","#1F9698FF",0.0027689266307174,0.0017875517513898
"a","CD8",FALSE,"CD8.K",214,"GP44","#1F9698FF",0.00308883815651371,0.00157925394820255
"a","CD8",FALSE,"CD8.Q",2445,"GP44","#1F9698FF",0.00289495803494483,0.00260022765761831
"a","CD8",FALSE,"CD8.R",1006,"GP44","#1F9698FF",0.00272633446936016,0.00235600489507705
"a","CD8",FALSE,"CD8.T",901,"GP44","#1F9698FF",0.00282706536126446,0.00269809612108809
"a","CD8",FALSE,"CD8.wV",481,"GP44","#1F9698FF",0.00280126409215503,0.00303154224242765
"a","CD8",FALSE,"CD8.wY",234,"GP44","#1F9698FF",0.00271687080957999,0.00196773883660136
"a","CD8",FALSE,"CD8.P",2393,"GP44","#1F9698FF",0.00407736602755216,0.00239974531700954
"a","CD8",FALSE,"CD8.A",44112,"GP58","#FFACFDFF",0.426202349169319,0.49635614589012
"a","CD8",FALSE,"CD8.B",16066,"GP58","#FFACFDFF",0.409194886835496,0.515802889374477
"a","CD8",FALSE,"CD8.C",2600,"GP58","#FFACFDFF",0.385539625203112,0.363393107555899
"a","CD8",FALSE,"CD8.D",2195,"GP58","#FFACFDFF",0.326564554862223,0.312850127895252
"a","CD8",FALSE,"CD8.E",10027,"GP58","#FFACFDFF",0.405141154750748,0.357356743064785
"a","CD8",FALSE,"CD8.F",266,"GP58","#FFACFDFF",0.417077114210595,0.295266417766412
"a","CD8",FALSE,"CD8.G",997,"GP58","#FFACFDFF",0.328072464950323,0.260933693230811
"a","CD8",FALSE,"CD8.H",1366,"GP58","#FFACFDFF",0.175310145195003,0.149552416298579
"a","CD8",FALSE,"CD8.I",198,"GP58","#FFACFDFF",0.141578702137176,0.102469377792711
"a","CD8",FALSE,"CD8.J",1203,"GP58","#FFACFDFF",0.27301747843401,0.176253450098928
"a","CD8",FALSE,"CD8.K",214,"GP58","#FFACFDFF",0.189771554074413,0.0970259563119392
"a","CD8",FALSE,"CD8.Q",2445,"GP58","#FFACFDFF",0.228238339732791,0.20500181223297
"a","CD8",FALSE,"CD8.R",1006,"GP58","#FFACFDFF",0.208915977709805,0.180538034373907
"a","CD8",FALSE,"CD8.T",901,"GP58","#FFACFDFF",0.137832043395207,0.131544217810345
"a","CD8",FALSE,"CD8.wV",481,"GP58","#FFACFDFF",0.176584104858001,0.191100216047991
"a","CD8",FALSE,"CD8.wY",234,"GP58","#FFACFDFF",0.338966775564103,0.245502320626772
"a","CD8",FALSE,"CD8.P",2393,"GP58","#FFACFDFF",0.251864021583101,0.1482352828353
"a","CD8",FALSE,"CD8.A",44112,"GP77","#B1CC71FF",0.00055858279973604,0.000650526695073064
"a","CD8",FALSE,"CD8.B",16066,"GP77","#B1CC71FF",0.000686505206357178,0.00086536117728179
"a","CD8",FALSE,"CD8.C",2600,"GP77","#B1CC71FF",0.000894479904996929,0.000843098377117256
"a","CD8",FALSE,"CD8.D",2195,"GP77","#B1CC71FF",0.00098889901520202,0.000947369145778749
"a","CD8",FALSE,"CD8.E",10027,"GP77","#B1CC71FF",0.0006443125988622,0.000568319088656044
"a","CD8",FALSE,"CD8.F",266,"GP77","#B1CC71FF",0.000585067046327732,0.000414193550872076
"a","CD8",FALSE,"CD8.G",997,"GP77","#B1CC71FF",0.00112517860308056,0.000894915117276152
"a","CD8",FALSE,"CD8.H",1366,"GP77","#B1CC71FF",0.00188608743781334,0.00160897096606489
