dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
Group column,42,Treg.A,NA,42,NA,NA,NA,0
Group column,43,Treg.B,NA,43,NA,NA,NA,0
Group column,44,Treg.C,NA,44,NA,NA,NA,0
Group column,45,Treg.D,NA,45,NA,NA,NA,1
Group column,46,Treg.E,NA,46,NA,NA,NA,1
Group column,47,Treg.F,NA,47,NA,NA,NA,0
Group column,48,Treg.P,NA,48,NA,NA,NA,0
Group column,49,Treg.wM,NA,49,NA,NA,NA,1
Group column,50,gdT.A,NA,50,NA,NA,NA,0
Group column,51,gdT.B,NA,51,NA,NA,NA,1
Group column,52,gdT.C,NA,52,NA,NA,NA,0
Group column,53,gdT.D,NA,53,NA,NA,NA,1
Group column,54,gdT.E,NA,54,NA,NA,NA,1
Group column,55,gdT.F,NA,55,NA,NA,NA,1
Group column,56,gdT.G,NA,56,NA,NA,NA,0
Group column,57,gdT.H,NA,57,NA,NA,NA,0
Group column,58,gdT.I,NA,58,NA,NA,NA,1
Group column,59,gdT.J,NA,59,NA,NA,NA,0
Group column,60,gdT.K,NA,60,NA,NA,NA,0
Group column,61,gdT.P,NA,61,NA,NA,NA,0
Group column,62,gdT.Q,NA,62,NA,NA,NA,0
Group column,63,gdT.R,NA,63,NA,NA,NA,3
Group column,64,gdT.S,NA,64,NA,NA,NA,3
Group column,65,gdT.T,NA,65,NA,NA,NA,0
Group column,66,gdT.U,NA,66,NA,NA,NA,1
Group column,67,gdT.V,NA,67,NA,NA,NA,1
Group column,68,gdT.wM,NA,68,NA,NA,NA,0
Group column,69,gdT.X,NA,69,NA,NA,NA,1
Group column,70,gdT.Z,NA,70,NA,NA,NA,5
Group column,71,CD8aa.A,NA,71,NA,NA,NA,0
Group column,72,CD8aa.B,NA,72,NA,NA,NA,0
Group column,73,CD8aa.C,NA,73,NA,NA,NA,0
Group column,74,CD8aa.D,NA,74,NA,NA,NA,0
Group column,75,CD8aa.E,NA,75,NA,NA,NA,0
Group column,76,CD8aa.P,NA,76,NA,NA,NA,0
