"gene_symbol","signature_name","score"
"Gphn","GP4_up",0.258616924877885
"Rabac1","GP4_up",0.257533619616757
"Park7","GP4_up",0.255004345114974
"Vps28","GP4_up",0.25325808830194
"Edf1","GP4_up",0.250133735618016
"Cd2","GP4_up",0.246684878643974
"Ndufa3","GP4_up",0.2460976478728
"Ldha","GP4_up",0.245303392792309
"Cfl1","GP4_up",0.244737453061067
"Gabarap","GP4_up",0.241369798552508
"Ndufa6","GP4_up",0.236896285113246
"AW112010","GP4_up",0.235914200204573
"Npc2","GP4_up",0.23520418735315
"Dock2","GP4_down",-0.695213813193906
"Rack1","GP4_down",-0.565069678563507
"Arhgap15","GP4_down",-0.506091276912655
"Myh9","GP4_down",-0.468008086412517
"Ptprc","GP4_down",-0.455412600703608
"Dock10","GP4_down",-0.444665332027043
"Cdk8","GP4_down",-0.402580602158863
"Ahnak","GP4_down",-0.384719402241646
"Prkch","GP4_down",-0.369863608614652
"Akap13","GP4_down",-0.337175841054757
"Ripor2","GP4_down",-0.329531782825194
"Ikzf1","GP4_down",-0.329475694013253
"Mbnl1","GP4_down",-0.327695506871495
"Grap2","GP4_down",-0.327249292200516
"Cmss1","GP4_down",-0.322537671314654
"Iqgap1","GP4_down",-0.316406114869527
"Prrc2c","GP4_down",-0.308903808640686
"Utrn","GP4_down",-0.308603009963292
"Themis","GP4_down",-0.307875752481798
"Elmo1","GP4_down",-0.303849603081931
"Macf1","GP4_down",-0.302249437498438
"Mir142hg","GP4_down",-0.296374615488136
"Pitpnc1","GP4_down",-0.292317482928954
"Ankrd44","GP4_down",-0.290575305223711
"Foxp1","GP4_down",-0.282426781576557
"Ssh2","GP4_down",-0.26049773884478
"Wnk1","GP4_down",-0.256884419315451
"Ablim1","GP4_down",-0.247230771086636
"Celf2","GP4_down",-0.246584440386679
"Hnrnpu","GP4_down",-0.245612270348457
"Dennd4a","GP4_down",-0.243798622818492
"Zc3hav1","GP4_down",-0.238473728451488
"Ppp1r12a","GP4_down",-0.237641691653939
"Itk","GP4_down",-0.235687177445357
"Ankrd11","GP4_down",-0.235256470421533
"Maml2","GP4_down",-0.227186732395324
"Inpp4b","GP4_down",-0.226862225259203
"Chd4","GP4_down",-0.226732652388746
"Bach2","GP4_down",-0.224204089075216
"Hspa5","GP4_down",-0.224075808264248
"Flna","GP4_down",-0.219925533743915
"Esyt1","GP4_down",-0.217562545054494
"Birc6","GP4_down",-0.215258039125815
"Bcl11b","GP4_down",-0.21296195920161
"Kansl1","GP4_down",-0.21258322016478
"Stk10","GP4_down",-0.21255833673145
"Sh3kbp1","GP4_down",-0.212397163547843
"Sptbn1","GP4_down",-0.212207734396902
"Eif4g2","GP4_down",-0.212132687520873
"Tln1","GP4_down",-0.212034302710122
"Ccnd2","GP4_down",-0.207964406604892
"Rock1","GP4_down",-0.207927695206604
"Mycbp2","GP4_down",-0.206796128586426
"Ppm1h","GP4_down",-0.206090392708493
"Atp11b","GP4_down",-0.204381508881241
"Fyb","GP4_down",-0.203606226132952
"Dock11","GP4_down",-0.201045462334641
"Fyn","GP4_down",-0.200763516992437
"Dock8","GP4_down",-0.199778787104493
"Fnbp1","GP4_down",-0.199424723467719
"Aff3","GP4_down",-0.198804065485661
"Pde3b","GP4_down",-0.198025358918788
"Atp2b1","GP4_down",-0.197948122207444
"Nedd9","GP4_down",-0.197476495609162
"Zfp36l2","GP4_down",-0.193333061180933
"Pag1","GP4_down",-0.192898302839094
"Ccnd3","GP4_down",-0.192123881756672
"Galnt2l","GP4_down",-0.191575013247922
"Eif3a","GP4_down",-0.189290883625197
