"GP","mean_change_loadings_CD4","mean_change_loadings_CD8","AveExpr_CD4","AveExpr_CD8","d_CD4","d_CD8","Ratio_CD8_CD4"
"GP107",3.63419684059476e-06,1.19158688822141e-05,2.03236721982101e-05,1.04637813828025e-05,0.00226429344402441,0.00742420539483937,3.27881768788946
"GP108",7.47425246197539e-05,1.55423118059564e-05,4.65391737766236e-05,3.13133401946878e-05,0.0164719676368869,0.00342525835690672,0.207944699286337
"GP109",0.00879898696956133,0.000879782746015048,0.00311426802962861,0.000476717920366428,0.311600057902939,0.0311558995994243,0.0999868222397094
"GP110",0.017404193203352,0.000221349456201153,0.00586441071884431,0.000149937109288336,0.470873316934021,0.00598864603634169,0.0127181681802132
"GP111",0.00108821316343128,1.77860089458642e-05,0.000362538385090048,1.38067042611328e-05,0.122895428989086,0.00200863146381498,0.0163442324937355
"GP112",0.00376055647931677,4.3147317459079e-05,0.00132379797985506,7.35753931456057e-05,0.229314203194929,0.00263107143252506,0.0114736522895989
"GP113",-5.71620633220076e-06,-1.79625777644272e-05,1.88773544249265e-05,1.58345414483488e-05,-0.00282037580269775,-0.00886273460695083,3.14239492427691
"GP114",-5.0923537661252e-05,-1.09321596734389e-05,4.81138767838686e-05,1.88654884972355e-05,-0.0123300580905025,-0.00264699135250213,0.214677930393615
"GP115",-2.1578505689974e-05,-6.81310585741186e-07,1.52048052548966e-05,4.33950345487112e-07,-0.00951951453186558,-0.000300565113954602,0.0315735758318864
"GP116",1.15473672192639e-06,-1.59666329857631e-05,1.12251976025584e-05,1.03794530700796e-05,0.000439390122211368,-0.00607548083100256,-13.8270764950878
"GP117",-5.42122727812447e-05,8.0519522801854e-05,0.00026131130877226,0.000171487972572281,-0.00674041800746128,0.0100112984311842,-1.48526373588437
"GP118",0.00433213317123434,0.0101146708418505,0.00214115870215407,0.00488804328312737,0.123015366444966,0.28721645685835,2.3348014574004
"GP119",0.000538895881584246,0.000186429408974032,0.000511024088756932,0.000404450899677571,0.0858851838136835,0.0297117209560786,0.345946991515257
"GP120",0.00318296049067572,-0.00447812270902041,0.0019533412607684,0.0101816897752097,0.0844867282553808,-0.118864791919217,-1.40690489942894
"GP121",0.00464284244563535,0.0018570607942307,0.0238400423004562,0.0231010116372446,0.316274804862116,0.12650473221734,0.399983591081468
"GP122",-7.2702995412966e-05,-0.000310092199629572,0.000171024764244009,0.000248990550164098,-0.00918815118359395,-0.0391892245273512,4.26519152158991
"GP123",-1.74652304554902e-05,3.41848767176418e-07,3.86986860911547e-05,3.98245161330141e-05,-0.00415476082064768,8.13215644689544e-05,-0.0195731037187063
"GP124",7.66488902376637e-05,-5.65023953088501e-05,8.15934818811461e-05,9.3250109001483e-05,0.0156008715130063,-0.0115003179649079,-0.737158687277197
"GP125",6.10751458979763e-05,0.00024898800335609,3.85452684957249e-05,0.000399064983952715,0.00713224397255262,0.029076364207805,4.0767484006017
"GP126",0.000392159987705132,0.0008432221560738,0.000205085611358518,0.000503054888569872,0.0373565782889289,0.0803240908708293,2.15019936380614
"GP127",0.0005716685218713,0.0012843019927297,0.000243510158692618,0.00274986957693,0.0436439129289371,0.0980497652060231,2.2465851163637
"GP128",5.37948722791723e-05,8.41240690934501e-06,3.38569929758759e-05,1.60124285332286e-05,0.0174736923423136,0.00273252456905934,0.156379345334035
"GP129",0.00082301031943158,6.06248126495122e-05,0.000405888527149586,7.38307762092345e-05,0.0758563939116437,0.0055877545646538,0.0736622752086308
"GP130",0.00489034323914425,0.00306298252611443,0.00185188901500651,0.00138026091912503,0.286625425099833,0.179522913973322,0.626332831118498
"GP131",-2.27211499622384e-08,7.76102504870911e-08,1.8023628577448e-07,3.90633455778808e-08,-0.00108244033914548,0.00369736857500748,-3.41577123587829
"GP132",-8.02453294939527e-08,7.63112664875366e-07,1.78604166686491e-06,1.18119456508156e-06,-0.000714946254288441,0.00679895695853338,-9.50974554765676
"GP133",7.08065621789215e-05,-0.000126611190398178,0.00015630848432766,0.00013165128911369,0.010398488660221,-0.0185938278472791,-1.78812791501222
"GP134",4.48022014655558e-05,-0.00010667751687353,0.000129864460715817,0.000155251939487925,0.00795162051713815,-0.0189334252367276,-2.38107756726071
"GP135",0.0146477585872963,0.00542150364863358,0.0105746709995735,0.00642556079794162,0.272010345343382,0.100677866238471,0.370125136642786
"GP136",-1.46662059684229e-07,1.5210558749327e-05,8.60346286650937e-06,5.52569177339277e-06,-6.93424391429537e-05,0.00719161620037541,-103.711612819812
"GP137",3.94653123227493e-06,-2.08340980778707e-06,1.01146085913154e-05,6.20286184689801e-06,0.00263944966962863,-0.00139338953760028,-0.527909114401235
"GP138",1.76478625880329e-06,2.55679029466767e-06,2.13395881357182e-05,1.32469910875226e-05,0.000900595848231671,0.00130476691593132,1.4487818464778
"GP139",1.85706039919358e-07,-1.2021060870389e-06,1.71718740101733e-06,8.51079763255451e-06,0.00014893608726255,-0.000964088067118408,-6.47316634160585
"GP140",1.02515813776383e-05,6.08380141146168e-07,1.8565444350755e-05,1.48006601628609e-05,0.00583220478821611,0.00034611221835374,0.0593450043203309
"GP141",2.90027010557331e-06,4.2843204981099e-06,1.45132665393246e-05,7.76749272433528e-06,0.0015196086374764,0.00224478762241285,1.47721430837663
"GP142",1.55366829631369e-05,-3.05718465067533e-05,2.21409568163607e-05,3.48305306173605e-05,0.00431734871767339,-0.00849533472659533,-1.96772030293014
"GP143",1.55115558866565e-05,7.52661954975263e-06,5.83464700214422e-05,6.04789046562165e-05,0.00320085857397082,0.00155314172832697,0.485226601686503
"GP144",4.13545246342334e-06,-1.52279944503219e-05,3.19633868329773e-05,1.30889251040421e-05,0.0011147861453646,-0.00410498183331917,-3.68230431494699
"GP145",-4.47333709953457e-05,0.000134581758063878,0.00019454810155664,0.000199968488590013,-0.00722801854217177,0.0217457218420897,-3.00853155193426
"GP146",1.18446694708602e-05,-1.50336749493212e-05,5.20336359350512e-06,9.9592881336908e-06,0.00495071835822713,-0.00628362747870061,-1.26923549756339
"GP147",1.20197136220342e-05,1.6197322276523e-05,2.30067938376509e-05,1.785872728894e-05,0.00415603172696224,0.00560051490325517,1.34756307727918
"GP148",-2.22652273697792e-05,2.62915796012917e-05,0.000183140225745227,0.000150926830268966,-0.00515708130934219,0.00608966670328904,-1.18083589107999
"GP149",4.9964161346309e-06,1.86155283315909e-05,6.0576392675934e-05,6.91755920459332e-05,0.00125756931237156,0.00468542181687624,3.72577620237912
"GP150",1.63183828194137e-05,1.92870955923464e-05,1.04067486963206e-05,1.00037486211649e-05,0.0141841143032764,0.0167645514563242,1.18192444715789
"GP151",0.00793169176911256,0.000658404368186832,0.00279664548728299,0.000434931712697853,0.315515998381402,0.0261907695879094,0.0830093235280244
"GP152",0.0158612433199647,0.000696781560985503,0.00535751615482312,0.000382940400252371,0.777162109311076,0.0341405914240626,0.0439298198085428
"GP153",0.000387569353526854,3.89147846306591e-05,0.000240000018855094,7.29851278694649e-05,0.0771365416553337,0.00774507034252178,0.100407280081712
"GP154",-9.14958164440057e-06,-4.35150162443592e-05,5.44003746087282e-05,6.37742826204369e-05,-0.00443496240910943,-0.0210924902116837,4.75595693175653
"GP155",1.58092708478382e-05,2.54489145456826e-05,9.21353244928875e-06,2.01171023978441e-05,0.00676539308351889,0.0108905661815496,1.60974625525898
"GP156",0.00093219766302359,1.06219165073381e-05,0.000323111060804361,2.31660094860519e-05,0.0987025708871654,0.00112466541014763,0.0113944895258435
"GP157",0.000107908000077071,1.58268068752724e-05,4.6917423555884e-05,3.93875954466793e-05,0.0293182333221888,0.00430008911649779,0.146669448641142
