"GP","blood","spleen","LN","bone marrow","lung","liver","peritoneal cavity","colon epi","small intestine epi","colon LP","small intestine LP","skin","mammary gland","uterus","placenta","submandibular gland","kidney","CNS"
"GP31",0.562650952803189,0.519075856167378,0.54332072604057,0.540764112676566,0.510627905181851,0.536970939352727,0.612202838845687,0.538622643089719,0.547289809217297,0.59423020318493,0.555266184101543,0.642207669296136,0.706346062655133,0.592998318426723,0.539899467149024,0.677903413558342,0.535499995203518,0.643791502057117
"GP32",0.49186311732712,0.538875906755489,0.504363904536805,0.525053746331218,0.507857395051628,0.514649213827639,0.622772548489085,0.536457689844636,0.521433936231043,0.530524064849995,0.606729116399466,0.616536847967188,0.659236935076297,0.499076324232401,0.793639257663562,0.560740581038119,0.493364195703113,0.606203941643768
"GP33",0.60939559571576,0.555879318189044,0.511529052526052,0.678350061331147,0.570832508985051,0.564723568846299,0.614311060994818,0.561956482990477,0.60187179475335,0.608729941423275,0.578310108448568,0.499808220100522,0.627619014622232,0.518321302880032,0.582229406567281,0.577461812642616,0.53811179758267,0.888263863546683
"GP34",0.524370330024783,0.508743859199619,0.518919682278913,0.514957371706687,0.524431987642125,0.519035387756382,0.598395206092357,0.512905486939904,0.520877194037453,0.50987913357167,0.511795101592593,0.594091228450753,0.544160810687683,0.527706894690138,0.564978116695131,0.571407479344583,0.503019355975551,0.597340138536924
"GP35",0.610078934964358,0.590863510358224,0.605180596580487,0.651665621332234,0.600802779360534,0.640357012199077,0.598675749763551,0.628534607067449,0.474105913358514,0.853780160749543,0.767850649464048,0.711786839348899,0.615633398466842,0.657847123725863,0.697463410691412,0.866533073032259,0.69003819661064,0.785785279212129
"GP36",0.555391516771464,0.50408061634779,0.541350280458121,0.585925218211415,0.610406380976309,0.515686781882576,0.574977911606171,0.589980307286761,0.572630398576878,0.509137824170047,0.585608246071428,0.56151139825143,0.541254730218571,0.581130562180435,0.59856848573703,0.560820128749533,0.516321284766925,0.87530744422984
"GP37",0.526704046653555,0.507003227617506,0.499042101971478,0.522028326793898,0.524514664574983,0.55017681148296,0.584729553499327,0.512909286977999,0.539912794569603,0.5337623872249,0.511223940208428,0.513568882240643,0.991819791652933,0.563394149956342,0.545096824210101,0.59198635318305,0.5072801765577,0.615316963716177
"GP38",0.574631015450698,0.523205804999939,0.5541347353788,0.601495600851369,0.553392895029719,0.556267506173053,0.692312874794729,0.548838501115829,0.527403372197923,0.612057344310594,0.506982694978663,0.551229331388784,0.606269403490073,0.677399212758893,0.533550176419682,0.629587467614399,0.533356906122235,0.559514802886024
"GP39",0.596781575539521,0.556884145768973,0.549439725538145,0.624999169016939,0.554278440731707,0.607999356748412,0.686374475882907,0.620542535617153,0.534975585148004,0.586071220797061,0.538707785356113,0.515364825310753,0.544562150345794,0.577419551701011,0.589486613328576,0.616830772320197,0.65467617288322,0.520694286739983
"GP40",0.564722649825655,0.54181831108189,0.534443941469369,0.535897452743208,0.569367267976298,0.503041010261755,0.507982733657521,0.572066271581631,0.588031813247969,0.539915210501526,0.545282925236568,0.584492447816539,0.707622019885989,0.561606009222548,0.654231457916167,0.502159356746238,0.549402341187005,0.507272489150709
"GP41",0.713164881713073,0.548125080594587,0.587269276406538,0.532595548540532,0.658774084064259,0.513446495522104,0.796715243859615,0.585772816270292,0.667977866219035,0.555466780031801,0.610260698419372,0.537735624168713,0.67991117179804,0.550059180089242,0.787908245124922,0.654783138169742,0.536812721063561,0.49344719418862
"GP42",0.567087797885672,0.515886472425642,0.540468029809946,0.59055981770846,0.547323798084008,0.544727779711737,0.692493932075835,0.518399995019814,0.515618056819904,0.601245215964792,0.502723240208327,0.570964198721625,0.558743722974347,0.665489526920491,0.498465687896835,0.626646517120669,0.487602779901658,0.536993122319465
"GP43",0.501930103116325,0.528469564429773,0.53055704637972,0.542739635105795,0.627228408017023,0.655050247678889,0.546180613130271,0.534597414440793,0.647015597301089,0.570440418132915,0.646855835179362,0.651567667680052,0.751715247405052,0.689716568841439,0.54045728219078,0.802518489230986,0.651037452807574,0.66753172773591
"GP44",0.562247224649884,0.538098813222777,0.502544847506626,0.585026094818441,0.524532182373438,0.565201258827142,0.641761240986307,0.536750943962049,0.542528672209103,0.538825675594868,0.501369397624954,0.559337126518339,0.716099280325183,0.589070071835448,0.646682658920781,0.607217661897795,0.617968176976147,0.68457652484497
"GP45",0.507488687119047,0.555118319771631,0.550415811085013,0.515147970569408,0.610709505806335,0.5845997612942,0.565694310597651,0.503206637795634,0.556729738131455,0.580335368587883,0.569065924904598,0.532155774696394,0.559208119445675,0.575338049892462,0.540383040231813,0.547223220737268,0.59552445190278,0.637855174112085
"GP46",0.566022655377754,0.508312270076956,0.552829298110761,0.57641979508919,0.570631920448596,0.509752719494739,0.572990777033818,0.523579147705988,0.55905530525383,0.514746392169464,0.508997225224578,0.543494414457453,0.584291404300743,0.675234642042484,0.585025472646063,0.510293437425066,0.523437334819475,0.764322355407439
"GP47",0.597375873943313,0.563534371292013,0.523835808418348,0.501866995437836,0.509270543503466,0.578581702141001,0.539230721582053,0.583320052828864,0.587965486936712,0.553939299132683,0.539718137738189,0.630227778326169,0.688693325512421,0.621247140454253,0.593397813288459,0.623551697784409,0.614066131107737,0.636283568798634
"GP48",0.549307168789768,0.501384612031455,0.509060192607391,0.541299249979162,0.528996029861022,0.533540149439777,0.592383109054146,0.513165376382427,0.528125843631053,0.520989542569688,0.533288568964324,0.53298548263654,0.52404192697963,0.529109624006579,0.59489469161849,0.599275882942044,0.502625414205701,0.534243236862706
