"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP53","","CD45RB, ITB7, CD103, CD8B, CD8A, CD38, TCRGD",0,0.002,FALSE
"GP55","CD86, ITAM.CD11B, GR1-LY6G-LY6C1-LY6C2, CD62L","THY1.2, KLRG1, ICOS.CD278, CD44, CD27",0,0.001,FALSE
"GP56","CD62L, CD4, CD45RB, GR1-LY6G-LY6C1-LY6C2","LY108, CD55.DAF, CD103",0,0.003,FALSE
"GP59","ICOS.CD278","CD45RB, GR1-LY6G-LY6C1-LY6C2, IL7RA.CD127",0,0,FALSE
"GP60","CD44, CD49B","CD4, GR1-LY6G-LY6C1-LY6C2, CD39, CD86, CD24, ITA4.CD49D, IL7RA.CD127",0,0.001,FALSE
"GP66","CD49B","",0,0,FALSE
"GP67","THY1.2, ICOS.CD278, KLRG1, CD44, CD27","ITAM.CD11B, CD86, GR1-LY6G-LY6C1-LY6C2, GITR.CD357, CD45RB",0,0,FALSE
"GP69","CD45RB, CD8B, GR1-LY6G-LY6C1-LY6C2, CD8A, CD86, ITB7, ITAX.CD11C, ITAM.CD11B","ICOS.CD278, THY1.2, CD73.5NTD, CD5, KLRG1, CD44",0,0.001,FALSE
"GP70","GITR.CD357, NEUROPILIN1.CD304","THY1.2, FR4, CD62L, CD27",0,0,FALSE
"GP71","","CD45RB, CD62L, THY1.2, CD5, GR1-LY6G-LY6C1-LY6C2, FR4, ITAX.CD11C, CD27",0,0,FALSE
"GP73","THY1.2, ICOS.CD278, CD44, KLRG1","GR1-LY6G-LY6C1-LY6C2, ITAM.CD11B, CD86, CD45RB",0,0,FALSE
"GP75","SLAM.CD150, CD49B, CD29, NEUROPILIN1.CD304, ICOS.CD278, CD11A, CD55.DAF","",0,0,FALSE
"GP76","CD44, ICOS.CD278","GR1-LY6G-LY6C1-LY6C2, CD4, CD24, CD86, ITAM.CD11B, CD45RB, CD39, IL7RA.CD127",0,0,FALSE
"GP78","CD62L, CD8B, CD86, CD5","CD44, THY1.2, CD27, B220, CD38, TCRGD, CD160, SCA1, CD73.5NTD",0,0,FALSE
"GP82","THY1.2, ICOS.CD278, CD44, CD160","CD45RB, ITAM.CD11B, ITB7, GR1-LY6G-LY6C1-LY6C2",0,0,FALSE
"GP84","CD29, ITA4.CD49D, CD24","CD45RB, CD27, KLRG1",0,0.001,FALSE
"GP85","CD86, GR1-LY6G-LY6C1-LY6C2, CD45RB, ITB7, ITAM.CD11B, CD8B","ICOS.CD278, THY1.2, CD73.5NTD, CD44, CD5, KLRG1",0,0.003,FALSE
"GP86","CD4","CD8B, CD73.5NTD, CD38, CD45RB, THY1.2, CD8A",0,0,FALSE
"GP88","THY1.2, ICOS.CD278, KLRG1, NEUROPILIN1.CD304, CD27, CD160","CD86, ITAM.CD11B",0,0,FALSE
"GP89","","CD8B, CD73.5NTD, CD38, CD45RB, THY1.2, CD8A, CD5",0,0,FALSE
"GP91","CD38, ICAM1, CD103","",0,0,FALSE
"GP92","TCRVG2, TCRGD","",0,0,FALSE
"GP94","ICAM1, CD45RB, CD73.5NTD, CD8B, CD38, CD27, ITA4.CD49D","CD4, CD49B, CD29",0,0.001,FALSE
"GP95","CD29, CD49B, ITAM.CD11B, CD4","ICAM1, CD103, CD44",0,0,FALSE
"GP96","ITA4.CD49D, CD29, IL2RA.CD25, LY108","CD62L, CD103, GITR.CD357, ITB7, ITAM.CD11B, CD73.5NTD",0,0,FALSE
"GP97","CD73.5NTD, CD38, GITR.CD357","",0,0,FALSE
"GP98","","CD24",0,0,FALSE
"GP100","B220, CD160, CD44","ITAM.CD11B, CD86, CD45RB, ITB7, CD2, CD11A",0,0.064,FALSE
"GP103","","SLAM.CD150, CD11A, CD80, CD4, CD27",0,0,FALSE
"GP106","CD160, CD49B, IL7RA.CD127, CD2, SLAM.CD150, SCA1, ICOS.CD278, CD103, LY108","",0,0,FALSE
"GP108","","THY1.2, CD5, CD44, KLRG1, CD73.5NTD, CD2, CD55.DAF, CD62L, ICOS.CD278, CD103, CD11A, IL7RA.CD127, CD49B",0,0,FALSE
"GP112","ITB7, KLRG1","CD8B, CD8A, CD4, CD5, CD73.5NTD, CD80, CD11A",0,0.002,FALSE
